Period	sigma_P	A	sigma_A	ph	sigma_ph
					
70282	1638	2.85	0.00	6.24	0.04
30019	133	1.43	0.02	5.18	0.01
16403	154	0.41	0.02	4.27	0.08
9622	23	0.51	0.02	1.03	0.04
6233	20	0.39	0.02	3.39	0.02
5762	39	0.25	0.02	3.43	0.10
4577	6	0.58	0.02	5.81	0.04
3938	6	0.48	0.02	2.68	0.07
3457	5	0.47	0.02	5.96	0.05
2981	4	0.34	0.02	2.39	0.08
2637	5	0.31	0.03	4.42	0.10
2175	5	0.22	0.02	4.94	0.17
1743	4	0.20	0.02	4.82	0.24
1589	1	0.57	0.03	6.05	0.07
1554	1	0.40	0.01	2.07	0.10
1462	2	0.23	0.01	1.76	0.12
1370	1	0.21	0.01	2.91	0.15
1207	2	0.20	0.02	3.18	0.14
1179	2	0.20	0.02	5.04	0.12
996	1	0.19	0.02	3.85	0.15
