t_inf	y_d
308	1.93
313	1.68
318	1.43
323	1.55
328	1.80
333	1.18
338	1.11
343	1.38
348	1.43
353	1.71
358	1.31
363	1.63
368	1.34
373	1.53
378	1.15
383	1.41
388	1.40
393	1.74
398	1.59
403	1.67
408	1.65
413	1.77
418	1.90
423	1.79
428	1.67
433	1.79
438	1.68
443	1.52
448	1.55
453	2.01
458	1.57
463	1.54
468	1.61
473	1.93
478	1.83
483	1.92
488	2.18
493	1.96
498	2.08
503	1.60
508	1.72
513	1.68
518	1.48
523	1.59
528	1.52
533	1.38
538	1.47
543	1.59
548	1.47
553	1.44
558	1.36
563	1.49
568	1.43
573	1.25
578	1.06
583	1.25
588	1.32
593	1.16
598	1.35
603	1.41
608	1.44
613	1.71
618	1.71
623	1.74
628	1.72
633	1.67
638	1.71
643	1.69
648	1.85
653	1.32
658	1.75
663	1.95
668	1.59
673	1.79
678	1.72
683	1.81
688	1.27
693	1.10
698	1.37
703	1.06
708	1.17
713	1.29
718	1.31
723	1.32
728	1.36
733	1.34
738	1.23
743	1.20
748	1.27
753	1.25
758	1.13
763	1.58
768	1.40
773	1.40
778	1.34
783	1.44
788	1.27
793	1.34
798	1.57
803	1.28
808	1.22
813	1.07
818	1.05
823	1.46
828	1.36
833	1.50
838	1.51
843	1.25
848	1.24
853	1.25
858	1.35
863	1.26
868	1.27
873	1.35
878	1.34
883	1.45
888	1.23
893	1.29
898	1.33
903	1.51
908	1.31
913	1.56
918	1.81
923	1.83
928	1.65
933	1.46
938	1.52
943	1.32
948	1.24
953	1.49
958	1.80
963	1.57
968	1.31
973	1.39
978	1.20
983	1.03
988	1.12
993	1.11
998	1.19
1003	1.25
1008	1.12
1013	1.13
1018	1.38
1023	1.26
1028	1.12
1033	1.49
1038	1.61
1043	1.42
1048	1.37
1053	1.78
1058	1.51
1063	1.30
1068	1.27
1073	1.25
1078	1.32
1083	1.08
1088	1.32
1093	1.33
1098	1.46
1103	1.35
1108	1.11
1113	1.40
1118	1.45
1123	1.19
1128	1.20
1133	1.22
1138	1.21
1143	1.30
1148	1.02
1153	1.21
1158	1.21
1163	1.24
1168	1.38
1173	1.58
1178	1.56
1183	1.24
1188	1.29
1193	1.41
1198	1.24
1203	1.25
1208	1.23
1213	1.20
1218	1.25
