t	y_obs
1	11.202
2	-5.8741
3	-10.285
4	-8.3239
5	-6.235
6	-5.1257
7	-0.18895
8	3.1672
9	8.9554
10	12.256
11	9.3176
12	5.8751
13	1.6714
14	-4.0254
15	-7.6103
16	-9.6956
17	-7.1313
18	-3.1831
19	4.7254
20	5.962
21	8.2421
22	5.2249
23	0.81873
24	-6.3621
25	-8.9592
26	-7.6859
27	-0.62806
28	7.7436
29	8.2222
30	8.1782
31	4.2499
32	-2.9991
33	-7.4877
34	-8.1582
35	-8.435
36	-4.6212
37	2.3442
38	7.7164
39	9.7169
40	9.3478
41	5.9484
42	3.3141
43	-0.98184
44	-7.6347
45	-10.589
46	-8.6678
47	-9.6193
48	-7.2231
49	-1.31
50	3.2604
51	5.9336
52	10.269
53	10.239
54	8.5339
55	6.8017
56	2.3284
57	-3.2831
58	-9.2901
59	-11.346
60	-10.08
61	-7.8551
62	-4.5569
63	0.76965
64	8.3855
65	9.3374
66	11.607
67	5.917
68	2.1873
69	-5.519
70	-7.4109
71	-9.139
72	-6.7397
73	3.368
74	9.0688
75	10.323
76	6.3185
77	1.7022
78	-8.2061
79	-8.2789
80	-5.7023
81	-0.91222
82	6.3262
83	7.8247
84	8.2416
85	6.2621
86	2.7596
87	-2.4318
88	-6.72
89	-10.732
90	-8.7115
91	-6.8558
92	-2.91
93	2.0024
94	6.8146
95	10.926
96	9.7677
97	5.978
98	3.1506
99	-1.1244
100	-7.3131
101	-10.559
102	-8.5733
103	-8.3687
104	-6.0228
105	-0.7204
106	2.6151
107	6.322
108	10.313
109	11.69
110	11.459
111	6.3289
112	-1.6796
113	-2.5846
114	-7.8691
115	-7.4666
116	-8.1843
117	-3.8972
118	3.4488
119	5.9914
120	11.128
121	9.37
122	4.1672
123	-3.1564
124	-9.63
125	-8.7241
126	-6.1467
127	4.4261
128	9.8505
129	11.663
130	7.9356
131	-0.42351
132	-5.4455
133	-8.8009
134	-10.843
135	-6.2741
136	3.302
137	6.5431
138	11.356
139	8.5573
140	7.1017
141	4.1291
142	-3.471
143	-7.5842
144	-8.384
145	-10.982
146	-10.695
147	-5.5144
148	-1.4823
149	1.7649
150	5.6807
151	8.2074
152	8.1718
153	6.6796
154	2.6014
155	-1.449
156	-3.5422
157	-8.7292
158	-10.208
159	-8.5333
160	-6.2768
161	-2.6552
162	2.7048
163	6.5835
164	7.8563
165	9.6301
166	8.3783
167	3.0796
168	-5.9908
169	-10.044
170	-9.0381
171	-5.9036
172	-1.5269
173	9.0388
174	7.4096
175	6.2452
176	-0.16976
177	-4.68
178	-11.68
179	-6.4408
180	-1.7759
181	3.4383
182	8.9987
183	12.259
184	9.4814
185	3.526
186	-2.6276
187	-8.2471
188	-11.522
189	-9.1625
190	-6.3796
191	-2.9029
192	5.5437
193	9.6358
194	8.5309
195	8.4881
196	5.9187
197	2.2188
198	-0.97139
199	-6.7848
200	-10.798
201	-8.2062
202	-8.3442
203	-4.732
204	-0.93786
205	1.8485
206	6.4807
207	7.4603
208	7.7385
209	8.5123
210	4.765
211	-0.095711
212	-3.4418
213	-10.398
214	-7.4177
215	-8.1218
216	-2.9976
217	4.1453
218	5.8728
219	9.6503
220	9.1083
221	5.9668
222	-4.2607
223	-10.001
224	-11.044
225	-6.3447
226	0.69312
227	6.0798
228	11.031
229	7.8213
230	0.66113
231	-5.9597
232	-9.9745
233	-7.4912
234	-4.1245
235	-0.28124
236	7.1026
237	8.6805
238	7.9189
239	5.3259
240	4.3115
241	-3.647
242	-8.7905
243	-11.187
244	-11.388
245	-8.3578
246	-6.6899
247	1.6495
248	5.1082
249	5.8719
250	8.0835
251	8.7123
252	7.4208
253	1.8394
254	-0.9624
255	-2.8485
256	-9.3412
257	-10.891
258	-11.124
259	-7.7835
260	-3.4139
261	1.1028
262	7.7618
263	11.148
264	10.201
265	4.5496
266	-0.61039
267	-2.7906
268	-6.7083
269	-10.419
270	-7.7431
271	-0.31931
272	4.1932
273	10.924
274	5.8674
275	3.3475
276	-3.5614
277	-8.7428
278	-8.1887
279	-2.8337
280	1.8295
281	9.3167
282	9.9686
283	5.2316
284	3.2992
285	-4.6306
286	-7.792
287	-8.7038
288	-10.32
289	-6.5695
290	0.58958
291	5.2807
292	9.9619
293	12.013
294	10.539
295	6.7525
296	-0.51333
297	-5.1809
298	-9.2222
299	-10.131
300	-7.9124
301	-6.1104
302	-3.6256
303	-2.0607
304	3.0453
305	8.4272
306	7.6903
307	7.6178
308	8.115
309	3.9547
310	-1.2959
311	-4.269
312	-7.7651
313	-9.4121
314	-7.0736
315	-5.3706
316	2.7217
317	9.175
318	11.281
319	7.1497
320	4.3593
321	-1.3518
322	-7.0899
323	-8.5008
324	-8.1426
325	-2.7366
326	7.9971
327	8.338
328	8.3455
329	0.40646
330	-4.2576
331	-10.75
332	-8.6587
333	-6.4433
334	-0.25268
335	5.1402
336	9.8298
337	7.6416
338	6.2665
339	0.22793
340	-5.4996
341	-6.4895
342	-9.563
343	-10.5
344	-5.7563
345	-1.2187
346	1.0481
347	6.1857
348	10.368
349	10.519
350	9.1728
351	7.4028
352	0.73943
353	-1.1873
354	-4.7662
355	-11.018
356	-10.989
357	-7.3544
358	-5.3009
359	-0.4151
360	4.5356
361	6.9702
362	8.4732
363	7.3841
364	7.3859
365	1.1179
366	-4.3349
367	-7.9607
368	-12.2
369	-7.9501
370	-0.45833
371	3.7948
372	7.2764
373	7.5185
374	3.11
375	-1.746
376	-7.2195
377	-10.56
378	-5.8224
379	-0.51092
380	5.7529
381	8.1015
382	6.3614
383	1.1003
384	-4.4822
385	-9.1244
386	-11.326
387	-9.5911
388	-2.3305
389	2.1483
390	6.3301
391	7.927
392	8.5992
393	6.5142
394	4.2009
395	2.9562
396	-2.8349
397	-7.2117
398	-9.9978
399	-11.122
400	-9.1028
401	-3.4516
402	2.9698
403	4.761
404	6.1215
405	9.1293
406	9.0612
407	5.0199
408	3.4549
409	-1.4965
410	-5.3238
411	-7.1544
412	-10.385
413	-7.5216
414	-5.6328
415	0.94226
416	4.9634
417	11.138
418	11.062
419	5.1037
420	-0.13326
421	-7.464
422	-8.2889
423	-7.768
424	-3.2396
425	4.6236
426	9.2932
427	8.4457
428	4.58
429	-4.1645
430	-9.485
431	-11.984
432	-7.3326
433	-0.68826
434	6.7174
435	11.868
436	11.866
437	6.4415
438	0.35121
439	-2.4717
440	-6.3298
441	-8.7191
442	-7.6867
443	-7.1262
444	-3.8484
445	3.4104
446	6.3807
447	8.1084
448	7.7469
449	8.3772
450	7.1504
451	-0.12701
452	-5.04
453	-7.1243
454	-7.6186
455	-8.2554
456	-8.1438
457	-3.663
458	-1.6408
459	4.8772
460	9.973
461	10.32
462	9.7731
463	3.9847
464	2.9638
465	-2.8692
466	-10.246
467	-9.7674
468	-8.832
469	-2.7196
470	3.0432
471	7.4744
472	8.8495
473	4.1535
474	1.5163
475	-5.0805
476	-11.6
477	-4.6282
478	0.16061
479	6.1961
480	9.2124
481	9.2214
482	0.95155
483	-2.1956
484	-7.0303
485	-8.8524
486	-7.6239
487	-4.4844
488	0.71584
489	7.8233
490	8.6804
491	10.794
492	9.8687
493	6.0514
494	1.0657
495	-4.9154
496	-7.623
497	-7.6477
498	-8.2737
499	-8.3352
500	-5.0225
