t	y_obs
304.47	1.75
306.73	2.149
309	1.59
311.59	1.773
314.02	1.56
316.4	1.455
318.64	1.31
320.8	1.694
323.24	1.48
325.99	2.202
328.4	1.34
330.74	1.228
333.35	1.05
335.52	1.008
337.89	1.3
340.32	1.351
342.71	1.43
345.21	1.436
347.61	1.41
350.16	1.721
352.54	1.79
354.7	1.385
357.07	1.11
359.43	1.728
361.79	1.59
364.03	1.612
366.6	1.01
369.06	1.652
371.44	1.46
373.79	1.484
376.05	0.938
378.41	1.213
380.79	1.65
383.65	1.105
386.12	1.56
388.66	1.32
390.96	1.92
393.29	1.692
395.67	1.33
398.09	1.962
400.35	1.6
402.99	1.628
405.55	1.73
407.87	1.55
410.44	1.85
412.77	1.738
415.09	1.91
417.48	1.924
419.85	1.84
422.26	1.697
427.15	1.658
429.51	1.93
432.37	1.672
434.62	1.72
437.04	1.639
439.33	1.68
441.72	1.379
444.1	1.47
446.49	1.567
451.16	2.116
453.67	1.89
456.16	1.357
458.9	1.48
461.27	1.566
463.91	1.57
466.43	1.612
469	1.7
471.4	2.015
473.93	2.06
476.6	1.628
479.41	1.97
481.8	1.931
484.24	1.82
486.62	2.372
488.96	2.1
491.34	1.673
493.72	2.4
496.34	2.063
498.75	1.8
501.18	1.628
503.58	1.42
505.91	1.996
508.21	1.47
510.63	1.757
513.29	1.65
515.7	1.297
518.26	1.66
520.67	1.54
523.25	1.64
526.06	1.67
528.75	1.32
531.25	1.372
533.65	1.4
536.18	1.561
538.56	1.35
540.87	1.817
543.2	1.41
545.59	1.449
548.07	1.49
550.7	1.503
555.54	1.282
560.38	1.523
565.44	1.421
570.95	1.436
576.38	0.967
581.46	1.208
592.25	1.339
597.76	0.982
603.14	1.697
608.42	1.157
613.38	1.71
623.81	1.706
628.93	1.793
634.41	1.604
639.66	1.781
644.87	1.542
649.59	2.072
654.54	1.224
659.71	1.667
664.78	2.053
669.71	1.525
674.52	1.822
679.67	1.689
684.6	1.872
689.94	1.19
695.45	1.076
700.55	1.452
705.78	0.953
711.2	1.239
716.2	1.301
726.51	1.329
731.18	1.376
741.61	1.191
746.59	1.212
751.63	1.369
756.68	0.967
762	1.646
767.45	1.381
772.67	1.41
777.72	1.32
783.15	1.478
788.26	1.221
793.57	1.374
799	1.629
804.7	1.181
809.92	1.237
814.99	1.013
819.83	1.061
825.12	1.632
830.18	1.227
835.48	1.636
841.22	1.418
846.73	1.174
849.52	1.304
852.23	1.177
857.47	1.323
862.58	1.364
867.59	1.146
872.77	1.442
877.98	1.216
883.39	1.562
888.48	1.206
893.76	1.3
899.32	1.268
904.47	1.569
909.78	1.273
914.92	1.533
920.09	1.831
925.67	1.837
935.84	1.435
941.35	1.543
946.77	1.241
951.78	1.242
954.45	1.521
957.16	1.799
962.5	1.809
967.9	1.245
973.5	1.394
978.4	1.387
983.6	0.967
988.8	1.111
993.7	1.127
998.4	1.093
1003.6	1.294
1014	1.076
1019.4	1.214
1024.7	1.518
1029.8	1.009
1040.4	1.635
1045.7	1.551
1050.7	1.188
1055.6	1.826
1066.3	1.303
1071.8	1.269
1077.1	1.239
1082.6	1.357
1088	1.017
1093.4	1.384
1099.1	1.314
1104.6	1.521
1110	1.243
1115	1.058
1119.9	1.657
1125.4	1.224
1130.8	1.174
1135.9	1.256
1140.9	1.14
1146.8	1.4
1152.3	0.965
1157.9	1.224
1163.4	1.208
1173.7	1.337
1176.4	1.775
1179.5	1.451
1184.5	1.598
1189.8	1.109
1192.4	1.267
1199.8	1.425
1205	1.112
1210	1.362
1215.1	1.083
1217.8	1.263
1225.9	1.227
1228.5	1.214
1231.1	1.783
1236.4	1.414
1241.4	1.433
1246.5	1.667
1249.4	1.633
1252.1	1.625
1257.8	1.621
1263.3	1.76
1268.7	1.533
1274	2.062
1279.9	2.213
1285.2	1.598
1290.4	1.906
1295.9	1.835
1306.4	1.741
1311.8	1.482
1317	1.138
1322.1	1.689
1327.7	1.506
1330.6	1.249
1333.4	1.598
1336.2	1.497
1339	1.154
1341.6	1.193
1344.6	2.093
1347.1	1.273
1349.8	1.545
1352.5	1.861
1355	1.372
1357.9	1.675
1360.7	1.212
1366	1.631
1371.9	1.493
1377.2	1.364
1382.8	1.265
1388.6	2.07
1394.1	1.38
1399.3	1.032
1404.3	0.963
1409.6	1.249
1414.9	1.268
1420.7	1.51
1426.1	1.487
1431.9	1.39
1437.6	1.183
1443.2	1.098
1449.2	0.988
1455	1.249
1460.6	1.572
1466	1.202
1471.7	1.312
1477.6	1.497
1483.6	1.265
1489.4	1.434
1494.8	1.422
1500	1.181
1506.1	1.366
1511.7	1.515
1516.9	1.054
1522.2	1.445
1527.6	1.495
1533.6	1.199
1539.1	1.429
1544.3	1.385
1550	1.473
1555.3	1.402
1560.5	1.319
1566	1.328
1571.8	1.16
1577	1.212
1582	1.168
1587.3	1.252
1592.7	1.027
1598.2	1.117
1603.7	1.161
1609.3	1.539
1614.9	1.261
1621	1.179
1626.4	0.926
1632	1.351
1637.6	1.301
1643.3	1.061
1649.2	0.991
1654.9	1.001
1660.6	0.932
1665.8	1.061
1671.8	1.458
1677.6	1.039
1683.1	1.288
1688.5	1.238
1694.1	1.47
1699.7	1.801
1705	1.445
1710.7	1.525
1716.3	1.485
1722.1	1.187
1733.6	1.397
1739.5	1.247
1742.2	1.096
1751.2	1.182
1757.3	1.174
1762.6	1.413
1768	1.536
1773.6	0.964
1779.4	1.555
1785.2	0.906
1790.9	1.218
1796.9	1.484
1803	1.173
1808.7	1.429
1814.4	1.045
1819.8	1.111
1825.4	1.128
1831.1	1.38
1836.7	1.376
1842.5	1.426
1848.2	2.253
1853.9	1.42
1859.5	1.535
1864.9	1.304
1870.6	0.958
1876.3	1.134
1881.9	1.207
1887.4	1.126
1892.9	1.691
1895.7	1.08
1898.5	0.964
1901.2	2.09
1903.8	1.516
1909.4	1.449
1914.8	1.395
1920.7	1.208
1926.2	1.269
1931.6	1.207
1937	1.124
1943	1.02
1948.7	1.203
1954.5	1.039
1957.2	1.11
1960.2	1.354
1963.1	1.34
1966.1	1.364
1968.9	1.42
1971.8	1.197
1974.9	1.4
1977.7	1.376
1980.4	1.12
1983.1	1.234
1986	0.95
1988.9	1.229
1991.7	1.05
1994.6	1.282
2000.2	1.237
2003	0.88
2005.7	1.104
2008.4	1.14
2011.2	1.258
2014.1	1.51
2017	1.671
2019.9	1.21
2023.5	1.499
2029.6	1.361
2032.6	1.17
2035.3	1.43
2041.1	1.247
2044.4	0.97
2047.5	1.183
2050.6	1.37
2053.4	1.33
2058.8	1.178
2061.8	1.23
2064.7	1.413
2070.6	1.572
2073.5	1.38
2079.2	0.97
2081.9	1.273
2084.6	1.21
2087.5	1.097
2090.5	1.3
2093.6	1.5
2096.8	0.95
2099.8	1.431
2102.6	1.38
2105.6	1.673
2108.5	1.12
2117.2	1.359
2120.1	1.17
2122.9	1.59
2125.9	1.11
2128.9	1.265
2131.6	1.1
2134.7	1.14
2137.5	1.37
2140.4	1.183
2143.2	1.32
2146.1	1.823
2148.9	1.17
2151.9	1.108
2154.9	1.38
2157.9	1.394
2160.7	0.93
2163.9	1.212
2167	1.15
2169.9	1.06
2175.7	1.242
2182	0.837
2188.1	1.452
2194	1.149
2199.8	1.172
2205.4	1.396
2211.7	1.231
2217.1	1.316
2222.5	1.589
2228.5	1.334
2234.3	0.893
2240.1	1.227
2245.8	1.122
2251.5	1.096
2257.3	1.229
2263.1	1.143
2268.9	1.432
2274.8	1.088
2277.7	2.024
2281.1	1.392
2286.7	1.187
2292.8	1.042
2298.7	1.26
2311.2	1.837
2317.2	1.316
2322.7	1.768
2328.7	1.771
2334.5	1.346
2340.8	1.621
2346.6	1.467
2352.3	1.315
2357.6	1.433
2363.5	1.654
2369.9	1.447
2375.8	1.39
2381.4	1.329
2387.1	1.169
2392.9	1.065
2399.3	1.343
2405.3	1.181
2411.4	1.239
2417.5	1.086
2423.4	0.978
2429.5	1.018
2435.3	1.013
2441.5	1.338
2447.3	1.056
2453.1	1.562
2458.8	1.122
2464.9	1.379
2470.9	1.204
2477.3	1.172
2483.2	0.999
2488.9	1.369
2494.6	1.32
2500.3	1.049
2505.9	1.214
2511.6	1.677
2517.5	1.295
2523.3	1.773
2528.9	1.054
2534.8	1.138
2541.2	1.293
2547.6	1.244
2553.4	1.084
2559.7	0.993
2565.7	1.223
2571.6	1.206
2577.7	1.036
2583.4	1.578
2589.2	1.116
2595.5	1.261
2601.4	1.357
2607.4	1.246
2613.7	1.126
2619.5	0.996
2626	1.522
2631.8	1.553
2637.9	1.914
2644.2	1.458
2650.4	1.337
2656.5	1.394
2662.3	1.069
2668.4	1.15
2674.6	0.914
2686.5	1.611
2692.9	1.765
2698.9	1.729
2705	1.396
2711.1	1.78
2717.6	1.633
2723.6	1.76
2729.7	1.556
2735.8	1.739
2742	1.609
2748.7	2.136
2754.9	1.656
2761.3	1.734
2767.4	1.62
2773.3	2.151
2779.6	1.515
2785.8	1.328
2791.8	1.549
2797.8	1.088
2804.1	1.65
2810	1.21
2816.2	1.284
2822.1	1.046
2828.4	1.232
2834.7	0.777
2841	0.937
2847.2	1.49
2853.8	1.399
2860.1	1.492
2866.5	1.18
2872.4	1.459
2878.7	1.223
2884.9	1.877
2891.4	1.522
2898.1	0.907
2904.4	1.213
2916.8	1.483
2922.8	1.402
2929	1.002
2935.2	1.217
2941.1	1.426
2947.2	1.86
2953.2	1.713
2959.7	1.525
2966	1.754
2972	1.568
2978.2	1.749
2984.3	1.38
2990.7	1.412
2997	1.188
3003.5	1.371
3009.8	1.32
3016.5	1.242
3022.9	1.622
3029.5	1.198
3035.5	1.341
3041.7	1.551
3048.2	1.487
3054.9	1.483
3061.5	1.239
3067.4	1.662
3074.1	1.287
3080.2	1.369
3086.4	1.317
3092.5	1.391
3099.7	1.311
3106	1.202
3112.4	1.249
3118.8	1.399
3125.6	1.191
3132	1.573
3138.6	1.373
3145.3	1.197
3151.8	1.32
3157.8	1.373
3163.8	1.454
3170	1.567
3176.4	1.505
3182.9	1.311
3189.5	1.469
3195.8	1.463
3202.5	1.279
3209.3	1.348
3215.8	1.218
3222.3	1.19
3228.6	1.448
3234.9	1.173
3241.1	1.244
3247.5	1.205
3253.8	0.977
3260.1	1.604
3266.4	1.045
3272.5	1.63
3278.9	1.606
3281.9	1.32
3285	1.01
3288.2	1.2
3291.4	1.37
3294.6	1.5
3297.7	1.26
3300.7	1.15
3303.8	1.14
3307	0.98
3310.2	1.28
3313.2	0.94
3319.3	1.39
3322.3	1.23
3325.6	1.18
3328.9	2.01
3332.1	1.65
3335.5	1.61
3338.7	1.7
3342	1.614
3345.2	1.24
3348.2	1.349
3351.6	1.33
3354.7	1.694
3358	1.51
3361.1	1.27
3364	1.47
3367.4	1.495
3370.6	1.68
3390.8	1.54
3393.9	1.999
3397.2	1.6
3400.3	1.574
3403.5	1.49
3407	1.719
3410.2	1.68
3413.4	1.538
3416.7	1.85
3419.9	1.537
3423	1.46
3426.2	1.81
3430.1	1.16
3433.3	2.008
3436.6	1.41
3443.4	1.55
3446.6	1.67
3450.2	1.26
3453.4	1.409
3456.6	1.81
3460.2	1.416
3463.5	1.63
3466.8	1.755
3470.1	1.352
3473.5	1.753
3476.9	1.54
3483.3	1.17
3486.5	1.405
3489.6	1.21
3492.8	1.597
3502.8	1.69
3506.3	1.551
3509.4	1.22
3515.8	1.34
3522.2	1.18
3525.3	1.138
3528.8	1.51
3532.3	1.531
3535.6	1.03
3542	1
3545.2	1.072
3548.6	1.56
3552	1.202
3555.4	1.19
3558.7	1.26
3561.8	1.38
3565.1	1.375
3568.3	1.2
3571.9	1.851
3575.6	1.47
3579.2	1.913
3582.3	1.45
3585.5	1.234
3588.8	1.62
3592.5	1.618
3603.2	1.26
3606.5	1.654
3609.7	1.16
3612.9	1.593
3619.7	1.245
3623.2	1.44
3626.5	1.607
3629.7	1.42
3633.1	1.66
3636.8	1.42
3640.2	1.272
3643.5	1.18
3646.7	1.57
3650.3	1.31
3653.8	1.628
3657	1.28
3660.2	1.53
3663.5	1.25
3666.9	1.51
3670.1	1.55
3673.7	1.217
3676.9	1.23
3680	1.539
3683.2	1.26
3686.5	1.211
3689.7	1.53
3693.2	1.279
3696.3	1.02
3699.7	1.2
3702.9	1.2
3706	1.364
3709.1	1.35
3712.6	1.42
3716.1	1.05
3719.3	1.776
3722.6	1.23
3726	1.62
3729.5	1.74
3736.9	1.41
3740.2	1.47
3743.5	1.48
3746.9	1.34
3750.4	1.16
3753.8	1.586
3757.1	1.06
3760.5	1.61
3763.8	1.41
3767.2	1.28
3770.7	1.54
3773.9	1.51
3777.5	1.29
3781.1	1.73
3784.3	1.71
3787.6	1.24
3791	1.14
3794.6	1.362
3798.4	1.54
3801.7	1.59
3805.3	1.17
3808.7	1.3
3815.3	1.14
3818.7	1.38
3821.8	1.37
3825.1	1.16
3828.7	0.99
3832.2	1.38
3835.8	1.38
3839.3	1.32
3842.7	1.82
3845.9	1.72
3852.8	1.53
3856.1	1.63
3859.3	1.23
3866.8	1.44
3870.5	1.25
3874.1	1.42
3881.1	1.2
3887.8	1.16
3894.9	1.87
3898.5	1.347
3901.9	1.18
3905.1	1.68
3908.6	1.25
3911.8	1.48
3915.2	1.4
3918.6	1.911
3925.8	1.399
3932.6	1.111
3939.2	1.294
3946.2	1.242
3953.2	1.457
3960.5	1.327
3967.4	1.381
3974	1.171
3980.8	1.916
3988	1.428
3994.9	1.278
4001.8	1.967
4008.6	1.705
4015.8	1.111
4022.7	1.393
4029.5	0.949
4036.5	1.407
4043.2	1.117
4049.9	1.128
4053.4	1.265
4057	1.125
4063.8	1.567
4071.3	1.278
4078.2	1.211
4085	1.401
4091.8	1.573
4098.6	1.517
4105.6	2.007
4112.3	1.506
4119.9	1.321
4126.7	1.325
4133.6	2.018
4141.3	1.27
4148.4	1.428
4150.1	1.549
4155.3	2.084
4157.1	1.872
4162.5	1.794
4164.4	1.506
4166.2	1.56
4168	1.65
4169.9	1.734
4171.6	1.721
4177.1	1.714
4178.8	1.812
4184.2	1.713
4186	1.348
4191.5	1.567
4193.2	1.343
4198.2	1.533
4200	1.277
4201.9	1.67
4203.6	1.47
4205.4	1.367
4207	1.73
4212.3	1.128
4214.1	1.245
4219.2	1.246
4221.1	1.677
4226.6	1.466
4228.4	1.404
4233.7	1.391
4235.5	1.473
4240.8	1.133
4242.6	1.616
4248.1	1.69
4249.9	1.526
4255	1.8
4256.8	1.495
4262	1.571
4263.7	1.638
4269.6	1.694
4271.5	1.614
4276.8	1.375
4278.5	1.293
4284.2	1.329
4286	1.654
4291.5	1.93
4293.4	1.06
4298.8	1.591
4300.5	1.926
4305.9	1.299
4307.6	1.532
4309.4	1.71
4312.9	1.539
4314.6	1.468
4320	2.041
4321.9	1.561
4327.2	1.431
