t	y_obs
10	-34.38209383
20	-36.20095142
30	-36.2558703
40	-35.10381843
50	-36.10651133
60	-33.97134526
70	-33.78490071
80	-36.38511484
90	-35.39345024
100	-34.69562948
110	-34.83480049
120	-36.06146861
130	-35.14049602
140	-35.39495287
150	-34.17487421
160	-34.34154152
170	-35.48528555
180	-34.62293215
190	-35.70202902
200	-33.85687767
210	-35.93542722
220	-35.37718141
230	-35.15452639
240	-35.58319005
250	-35.37870686
260	-34.13428299
270	-35.00955043
280	-35.21609899
290	-36.49280842
300	-36.20826425
310	-35.55759504
320	-35.1203117
330	-35.87674585
340	-34.98258177
350	-36.04659708
360	-34.56748558
370	-35.87235524
380	-35.19091038
390	-35.10730401
400	-34.75874477
410	-34.90230832
420	-36.10715404
430	-34.48428676
440	-35.72389065
450	-34.6602667
460	-34.96961183
470	-36.72538493
480	-34.74532181
490	-34.76294784
500	-35.06051573
510	-34.87375719
520	-34.67780726
530	-34.57641056
540	-34.8239704
550	-35.46144294
560	-35.03422176
570	-34.85587253
580	-33.94981602
590	-35.41459575
600	-35.75848074
610	-36.70052128
620	-34.23481608
630	-36.01075445
640	-36.11882418
650	-34.58280561
660	-34.79856892
670	-35.82386832
680	-35.47132966
690	-34.8859641
700	-35.02863456
710	-34.34252558
720	-35.26281322
730	-36.34333127
740	-34.52068618
750	-35.71362129
760	-35.9095448
770	-33.71706399
780	-35.7968289
790	-35.18138627
800	-35.67012996
810	-35.1989591
820	-35.96047638
830	-35.82943215
840	-36.38954373
850	-34.8812277
860	-35.20728058
870	-34.9950644
880	-36.5481303
890	-35.85011373
900	-34.90283697
910	-35.45998507
920	-35.41269182
930	-35.35098708
940	-36.13755634
950	-35.955111
960	-34.81353323
970	-35.36267593
980	-35.80398975
990	-33.98517099
1000	-36.0693699
1010	-35.18
1020	-34.21317944
1030	-35.45371691
1040	-33.14078561
1050	-35.18574256
1060	-35.38007071
1070	-34.52123385
1080	-35.66636752
1090	-33.77194376
1100	-35.35276447
1110	-35.61905165
1120	-35.20861923
1130	-35.29304373
1140	-36.40142472
1150	-35.28915325
1160	-33.56326255
1170	-35.35232293
1180	-34.61204997
1190	-35.79241926
