
freq	sigma_f	A	sigma_A	ph	sigma_ph	
0.0001109250036	0.00000163	0.1996	0.0051	1.62	0.05	
0.0004505925292	0.00000679	0.0534	0.0065	4.08	0.24	
0.0010217218056	0.00000515	0.0586	0.0060	3.54	0.13	
0.0013895643716	0.00000930	0.0499	0.0073	1.45	0.31	
0.0028323797655	0.00000826	0.0549	0.0070	2.03	0.26	
0.0042744176106	0.00001235	0.0357	0.0061	1.93	0.39	
0.0047858339316	0.00000703	0.0610	0.0054	5.43	0.24	
0.0066728947017	0.00000821	0.0535	0.0066	3.96	0.29	
0.0068747421972	0.00000808	0.0435	0.0089	3.35	0.25	
0.0070462232244	0.00000935	0.0430	0.0066	4.21	0.29	
0.0081241368105	0.00000872	0.0464	0.0054	4.05	0.32	
0.0094607379376	0.00001317	0.0339	0.0056	0.43	0.38	
0.0113855017021	0.00001034	0.0386	0.0077	2.33	0.38	
