freq	sigma_f	A	sigma_A	ph	sigma_ph	
0.000669434	8.6873E-07	0.23	0.01	1.76	0.12 
0.000582581	1.18915E-06	0.20	0.02	4.82	0.24
0.000629406	2.76613E-07	0.57	0.03	6.05	0.07
0.000338995	4.87639E-07	0.34	0.02	2.39	0.08
0.000376761	7.08019E-07	0.31	0.03	4.42	0.10
0.000177336	1.16122E-06	0.25	0.02	3.43	0.10
1.42284E-05	3.31568E-07	2.85	0.01	6.24	0.04
3.33122E-05	1.48024E-07	1.43	0.02	5.18	0.01
6.09645E-05	5.71326E-07	0.41	0.02	4.27	0.08
0.000103931	2.48836E-07	0.51	0.02	1.03	0.04
0.000160447	5.14786E-07	0.39	0.02	3.39	0.02
0.000218508	3.02936E-07	0.58	0.02	5.81	0.04
0.000253936	4.09444E-07	0.48	0.02	2.68	0.07
0.000289251	4.24699E-07	0.47	0.02	5.96	0.05
0.000459686	1.01421E-06	0.22	0.02	4.94	0.17
0.000643376	4.50856E-07	0.40	0.01	2.07	0.10
0.00072982	7.26092E-07	0.21	0.01	2.91	0.15
0.000828844	1.37946E-06	0.20	0.02	3.18	0.14
0.000847961	1.2041E-06	0.20	0.02	5.04	0.12
0.001004349	1.03484E-06	0.19	0.02	3.85	0.15
